duration,tenure_group,division,comprate,num_of_pay_raise,sex,ethnicity,mar_status,highest_educ_lvl,end_age_group,start_age_group,classification,pay_increase_ot,last_jobtitle_duration,emplid_sec,event
107,.under_1,Self Sufficiency,14.4043,1,F,NSPEC,U,A,40_to_44,40_to_44,Staff,0.0,107.0,wop6wqXClsKFwp0=,V Termination
385,1_to_2,Adult Services,26.738,2,F,ASIAN,U,A,35_to_39,35_to_39,Staff,0.03203558441558441,329.0,wop6wqXClcKMwqM=,IV Termination
57,.under_1,Self Sufficiency,14.4043,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,57.0,wop6wqXClcKLwqA=,IV Termination
56,.under_1,Self Sufficiency,14.4043,1,F,NSPEC,U,A,45_to_49,45_to_49,Staff,0.0,56.0,wop6wqXClcKJwqQ=,V Termination
325,.under_1,Self Sufficiency,16.887069,3,M,,U,A,.under_29,.under_29,Staff,0.003406366153846157,168.0,wop6wqXClcKHwqE=,V Termination
259,.under_1,Self Sufficiency,14.4043,2,F,NSPEC,U,A,45_to_49,45_to_49,Staff,0.004920077220077214,237.0,wop6wqXClMKFwqY=,V Termination
225,.under_1,Self Sufficiency,14.4043,1,M,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,225.0,wop6wqXCk8KIwqI=,V Termination
171,.under_1,Children Services,27.8076,1,F,WHITE,U,J,40_to_44,40_to_44,Staff,0.0,171.0,wop6wqTCm8KMwp4=,V Termination
330,.under_1,Children Services,28.9199,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,330.0,wop6wqTCm8KLwqM=,V Termination
316,.under_1,Children Services,27.8076,1,F,AMIND,U,I,.under_29,.under_29,Staff,0.0,316.0,wop6wqTCm8KKwqA=,V Termination
101,.under_1,Children Services,27.8076,1,F,BLACK,U,I,30_to_34,30_to_34,Staff,0.0,101.0,wop6wqTCm8KJwqI=,V Termination
220,.under_1,Children Services,15.416,1,F,BLACK,U,C,.under_29,.under_29,Staff,0.0,220.0,wop6wqTCm8KHwp8=,IV Termination
80,.under_1,Children Services,26.7381,1,F,HISPA,U,I,.under_29,.under_29,Staff,0.0,80.0,wop6wqTCm8KFwp4=,V Termination
113,.under_1,Children Services,27.8076,1,F,HISPA,U,I,.under_29,.under_29,Staff,0.0,113.0,wop6wqTCm8KDwqM=,V Termination
